,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,ict,ict_pred
44747,Andreas Christensen,0,0,1887,2,8,78,55.2,60.617687150330454
44748,Fabio Henrique Tavares,1,2,1635,3,9,54,76.3,91.52949914790177
44749,Marcos Rojo,1,0,2302,2,11,100,89.0,84.07130201518846
44750,Alfred N'Diaye,1,0,1017,3,4,31,36.6,47.22311218461364
44751,Nahki Wells,0,0,32,5,0,6,4.0,2.5060347649579473
44752,Steven Davis,3,6,4255,3,14,157,229.6,224.82498106492403
44753,Jonathan Walters,2,2,936,4,4,47,60.9,69.12031662847465
44754,Luke Shaw,0,3,680,2,4,44,36.5,41.231856700228434
44755,Mark Noble,10,5,6988,3,22,254,291.2,389.7719065351897
44756,Jordon Ibe,0,0,991,4,3,33,60.6,36.46586800351295
44757,Dieumerci Mbokani,0,2,764,5,3,27,39.6,47.004243104918146
44758,Sergio Agüero,29,8,3265,5,14,254,449.5,409.7305296427683
44759,Molla Wagué,0,0,45,2,0,1,0.7,0.6003077422952998
44760,Nahki Wells,0,0,46,5,0,9,4.7,3.0512357638059306
44761,Martin Olsson,2,1,2958,2,11,108,97.7,116.89525909448801
44762,Callum Hudson-Odoi,0,0,25,4,0,1,3.5,2.410099651299703
44763,Michael Hefele,0,0,32,2,0,1,0.4,0.14612720943809698
44764,Cenk Tosun,7,2,1486,5,4,83,116.7,122.24703469187294
44765,Jesús Navas,0,1,286,2,1,15,23.2,15.12814736371817
44766,Nacho Monreal,0,1,1713,2,6,64,58.2,61.12145211376746
44767,Oumar Niasse,1,0,134,5,1,10,8.6,13.510087253690337
44768,David Brooks,6,4,1723,4,8,101,134.2,153.34660368074395
44769,Joel Robles,0,1,1737,1,10,89,44.9,39.88576276132955
44770,Danny Rose,2,3,1530,2,8,84,99.6,88.90520369464666
44771,Adrian Mariappa,0,0,4230,2,12,124,122.2,118.01154098579714
44772,Danny Welbeck,8,5,2072,5,7,126,171.0,176.76423251184247
44773,Isaac Hayden,1,0,1297,3,3,36,56.0,51.455316181029815
44774,Marko Grujic,0,0,49,3,0,5,7.6,2.287144935059386
44775,Sofiane Boufal,3,2,2096,4,4,86,165.7,115.40638617656505
44776,Ciaran Clark,0,0,180,2,0,18,7.6,5.197366481080685
44777,Adrian Mariappa,0,0,2768,2,7,73,82.9,77.60961855858446
44778,John Stones,0,0,1820,2,4,56,54.5,52.59517578751478
44779,Ben Mee,1,2,4005,2,14,145,179.5,145.57353669248272
44780,Abdoulaye Doucouré,13,11,7557,3,18,296,445.3,465.60713183656173
44781,Kamil Grosicki,0,5,747,4,1,36,59.0,60.47458236560263
44782,James McCarthy,1,1,613,3,0,23,28.6,34.73270577514349
44783,Gareth Barry,2,1,1821,3,7,62,95.1,91.69217428296567
44784,Phil Jagielka,3,3,4367,2,12,168,176.4,178.52272304392426
44785,Aymeric Laporte,1,0,1436,2,8,77,58.6,56.455703682673104
44786,Andy Carroll,10,3,2015,5,6,104,175.6,171.25357684374
44787,Victor Wanyama,5,2,4006,3,15,143,200.6,205.20089457729364
44788,Wilfried Zaha,2,6,1105,4,1,72,102.7,96.59555617017706
44789,Maarten Stekelenburg,0,0,1413,1,3,57,30.2,40.25510246829979
44790,Brendan Galloway,0,0,247,2,1,9,7.5,7.419013804181116
44791,Jon Flanagan,0,0,360,2,1,9,8.0,11.107156398288119
44792,Yerry Mina,1,0,696,2,2,29,23.8,30.443741681041274
44793,Daniel Amartey,1,1,1691,3,4,54,57.6,71.10069892372995
44794,Vincent Kompany,3,0,1394,2,7,74,63.6,70.3556505702259
44795,Joel Matip,2,0,3898,2,15,156,169.9,137.5237666846349
44796,Charlie Austin,13,2,2086,5,11,138,213.2,198.99906177200234
44797,Sofiane Feghouli,0,0,134,4,0,5,10.7,5.819597587583621
44798,Ibrahima Cissé,0,0,77,3,0,4,1.0,3.1192036693116485
44799,César Azpilicueta,3,11,6570,2,31,344,293.5,322.27516516709477
44800,Paul Pogba,22,27,7040,3,32,406,725.9,761.8095928663564
44801,Morgan Schneiderlin,1,1,3849,3,15,116,124.5,151.16954628968415
44802,Luis Hernández,0,0,237,2,0,3,11.0,7.07860534010609
44803,Fernando Llorente,1,0,224,5,1,23,22.6,16.799324067703836
44804,Matthew Pennington,1,0,180,2,0,9,10.8,13.960943036788557
44805,Patrick van Aanholt,11,3,6084,2,16,255,334.9,296.9379270761431
44806,James McArthur,10,6,5488,3,14,235,276.8,324.30841481808636
44807,Fernando Llorente,2,4,715,5,2,60,76.6,72.37595945928946
44808,Ryan Fredericks,0,0,270,2,0,1,9.1,8.153221760952853
44809,Collin Quaner,0,3,702,5,2,28,52.3,53.18233925232131
44810,Andrew Surman,2,6,4279,3,10,145,159.9,206.5996289692198
44811,Stephen Kingsley,0,0,1035,2,3,28,26.2,32.0218862032595
44812,Jan Vertonghen,0,0,900,2,5,40,31.7,30.090023465628413
44813,Glenn Murray,11,0,1719,5,7,99,127.4,149.76141795608976
44814,Marcos Rojo,1,0,1663,2,8,77,66.5,63.15212877371968
44815,Steve Cook,3,0,4359,2,13,149,198.0,150.8379126510152
44816,Mesut Özil,12,19,4912,4,19,279,558.1,481.3783325292593
44817,Idrissa Gueye,1,2,4050,3,13,112,165.9,157.67917038625592
