player_name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW,club_name,position_index,position,season
Leighton Baines,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,156,0,0,0,0,0,0,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,39600,0,0,0,2,2,0,0,-573,144,717,51,True,0,0,16,Everton FC,2,Left-Back,2018/2019
Leon Balogun,0,62,0,0,0,14,0,9,45,0,0,0,54,0,0,153,0,1,0,3,26,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,90,0,0,4,0,0,0,0,3,0,16,0,8039,1,1,0,0,1,4,2,2193,2473,280,42,False,0,0,16,Brighton & Hove Albion,2,Centre-Back,2018/2019
Leroy Sané,0,18,0,0,0,1,0,0,14,26.8,2,0,275,0,0,155,1,1,0,6.5,6.2,2,2018-12-08T17:30:00Z,08 Dec 17:30,0,0,52,2,0,6,0,0,0,0,4,0,16,0,787924,6,1,0,0,2,32,1,159481,187716,28235,95,False,0,0,16,Manchester City,4,Left Winger,2018/2019
Lewis Cook,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,152,0,0,0,0,0,0,2018-12-08T12:30:00Z,08 Dec 12:30,0,0,0,0,0,12,0,0,0,0,0,0,16,0,10838,0,0,0,4,0,0,0,-1522,77,1599,48,True,0,0,16,AFC Bournemouth,3,Central Midfield,2018/2019
Lewis Dunk,0,82,0,0,0,13,0,6,71,1.4,0,0,48,0,0,153,1,1,0,3.4,15.2,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,90,0,0,4,0,0,0,0,7,0,16,0,301263,0,1,3,0,1,17,2,21981,31985,10004,45,False,0,0,16,Brighton & Hove Albion,2,Centre-Back,2018/2019
Loïc Damour,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,154,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,16,0,0,0,0,0,0,16,0,3191,0,0,0,0,1,0,0,-16,150,166,43,True,0,0,16,Cardiff City,3,Central Midfield,2018/2019
Lucas Digne,0,48,0,0,3,32,0,5,41,54.3,0,0,484,0,0,156,0,2,1,13.2,63,3,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,90,0,4,18,0,0,0,0,6,0,16,0,218445,2,1,1,2,2,15,10,17292,23701,6409,49,True,0,0,16,Everton FC,2,Left-Back,2018/2019
Lucas Pérez,0,14,1,0,0,5,0,0,10,12.3,1,0,502,0,0,160,1,1,0,2,0,1,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,45,0,0,7,0,0,0,0,2,0,16,0,38326,1,0,1,2,3,8,1,29777,31083,1306,62,True,0,0,16,West Ham United,5,Centre-Forward,2018/2019
Lucas Torreira,0,47,0,0,3,32,1,1,40,24.3,0,0,450,0,0,151,0,0,1,11.5,46.8,2,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,90,0,0,10,0,0,0,0,7,0,16,0,237336,2,0,1,0,1,44,11,91124,95405,4281,50,True,1,0,16,Arsenal FC,3,Defensive Midfield,2018/2019
Luciano Vietto,0,23,0,0,0,3,0,0,21,13.5,1,0,513,0,0,158,1,1,0,3.2,9.2,1,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,45,0,0,14,0,0,0,0,1,0,16,0,32915,1,0,0,1,4,9,1,-1754,493,2247,55,False,0,0,16,Fulham FC,5,Centre-Forward,2018/2019
Lukasz Fabianski,0,24,0,0,0,12,0,0,18,0,0,0,400,0,0,160,0,2,0,1.6,15.6,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,90,0,0,7,0,0,0,0,8,0,16,2,928558,0,0,0,2,3,0,1,62874,67163,4289,46,True,0,0,16,West Ham United,1,Goalkeeper,2018/2019
Luka Milivojevic,0,62,0,0,0,12,0,4,51,13.1,0,0,150,0,0,160,1,3,0,3.7,15,1,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,90,0,0,19,0,0,0,0,1,0,16,0,165970,1,1,1,2,3,9,2,7324,10535,3211,60,False,0,0,16,Crystal Palace,3,Defensive Midfield,2018/2019
Luke Shaw,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,158,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,9,0,0,0,0,0,0,16,0,307390,0,0,0,1,4,0,0,-18192,1223,19415,50,True,0,0,16,Manchester United,2,Left-Back,2018/2019
Lys Mousset,0,6,0,0,0,0,0,0,4,1.5,0,0,44,0,0,152,0,2,0,0.2,0.2,0,2018-12-08T12:30:00Z,08 Dec 12:30,0,0,25,1,0,12,0,0,0,0,1,0,16,0,12255,2,0,0,4,0,0,1,-188,105,293,49,True,0,0,16,AFC Bournemouth,5,Centre-Forward,2018/2019
Maarten Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,156,0,0,0,0,0,0,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,221190,0,0,0,2,2,0,0,-925,1272,2197,40,True,0,0,16,Everton FC,1,Goalkeeper,2018/2019
Mamadou Sakho,0,53,0,0,0,21,0,8,44,0.4,0,0,143,0,0,160,0,3,0,2,19.8,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,90,0,0,19,0,0,0,0,17,0,16,0,80951,0,1,0,2,3,0,1,235,1979,1744,49,False,0,0,16,Crystal Palace,2,Centre-Back,2018/2019
Manuel Lanzini,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,160,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,7,0,0,0,0,0,0,16,0,1606,0,0,0,2,3,0,0,-3,29,32,64,True,0,0,16,West Ham United,4,Attacking Midfield,2018/2019
Marcos Alonso,0,33,0,0,0,25,1,7,27,0.9,1,0,115,0,0,155,1,0,0,2.6,22.8,0,2018-12-08T17:30:00Z,08 Dec 17:30,0,0,90,0,0,13,0,0,0,0,6,0,16,0,2710631,2,0,0,0,2,2,6,-107744,13702,121446,71,True,0,0,16,Chelsea FC,2,Left-Back,2018/2019
