,GW,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,fpl_pred
3149,5,David Nugent,0,0,43,5,0,4,4.377834443091487
3150,25,Alex Pritchard,1,2,1384,4,3,50,52.403836247557194
3151,89,Manuel Lanzini,13,10,4747,4,15,239,235.92017155535552
3152,73,Willian Borges Da Silva,14,11,3301,4,15,240,218.96936020904616
3153,10,Patrick van Aanholt,2,0,704,2,0,24,21.863788204957785
3154,87,Aaron Ramsey,9,17,3617,3,16,220,207.6472213242597
3155,7,Ross Barkley,1,1,564,3,1,24,24.76215007126318
3156,97,Heurelho Gomes,0,0,5465,1,12,177,193.21548523466606
3157,25,Marc Pugh,1,1,293,4,1,22,20.545930856890116
3158,38,Alexandre Lacazette,14,5,2197,5,10,138,144.78077462388944
